Pos.,Participantes,1/6/22,1/13/22,1/20/22,1/27/22,2/3/22,2/10/22,2/17/22,PJ,Total,$$,ROI
1,Jimmy,1,,5,5,3,3,0,6,23,95,217%
2,Pomp,0,-1,0,3,5,0,0,7,14,43.5,24%
3,Bru,-1,3,0,0,0,5,,6,13,42,40%
4,Negro,3,5,0,0,-1,0,3,7,17,36.5,4%
5,Pucky L,5,0,0,0,0,0,,6,11,28,-7%
6,Razor,0,0,3,0,0,0,1,7,11,15,-57%
7,Cerba,0,0,1,0,0,0,-1,7,7,5,-86%
8,Fox,0,1,-1,-1,0,1,5,7,12,10,-71%
9,Gordotox,,0,0,1,0,0,0,6,7,5,-83%
10,Lilo,0,0,-1,,1,-1,0,6,5,5,-83%
